Rk,Player,Tm,Age,Pos,G,GS,0-19_FGA,0-19_FGM,20-29_FGA,20-29_FGM,30-39_FGA,30-39_FGM,40-49_FGA,40-49_FGM,50+_FGA,50+_FGM,Scoring_FGA,Scoring_FGM,Scoring_Lng,Scoring_FG%,Scoring_XPA,Scoring_XPM,Scoring_XP%,Kickoffs_KO,Kickoffs_KOYds,Kickoffs_TB,Kickoffs_TB%,Kickoffs_KOAvg,season
24,Chris Boswell,PIT,25,K,15,0,,,2,2,9,8,12,11,2,,25,21,49,0.84,36,36,1,80,4953,49,0.613,61.9,2016
25,Cody Parkey,CLE,24,K,14,0,,,6,6,6,6,12,7,1,1,25,20,51,0.8,21,20,0.952,57,3475,34,0.596,61,2016
26,Ryan Succop,TEN,30,K,16,0,1,1,5,5,5,5,8,8,5,3,24,22,53,0.917,41,39,0.951,82,5086,58,0.707,62,2016
27,Connor Barth,CHI,30,K,16,0,,,8,7,8,7,4,3,3,1,23,18,54,0.783,32,31,0.969,64,3973,26,0.406,62.1,2016
28,Greg Zuerlein,LAR,29,K,16,0,,,5,5,9,9,4,3,4,2,22,19,54,0.864,23,23,1,59,3794,36,0.61,64.3,2016
29,Andrew Franks,MIA,23,K,16,0,,,10,8,6,6,3,1,2,1,21,16,55,0.762,42,41,0.976,74,4768,43,0.581,64.4,2016
30,Phil Dawson,SFO,41,K,16,0,,,4,4,6,6,9,7,2,1,21,18,53,0.857,34,33,0.971,41,2304,4,0.098,56.2,2016
31,Blair Walsh,MIN,26,K,9,0,1,1,1,1,6,5,6,4,2,1,16,12,50,0.75,19,15,0.789,41,2569,19,0.463,62.7,2016
32,Kai Forbath,MIN,29,K,7,0,,,5,5,5,5,4,4,1,1,15,15,51,1,14,11,0.786,38,2363,19,0.5,62.2,2016
33,Josh Brown,NYG,37,K,5,0,1,1,3,3,3,3,4,4,1,,12,11,48,0.917,9,9,1,24,1452,15,0.625,60.5,2016
34,Robbie Gould,NYG,34,K,10,0,,,3,3,3,3,4,4,,,10,10,47,1,23,20,0.87,43,2671,19,0.442,62.1,2016
35,Randy Bullock,3TM,27,K,5,0,,,4,4,2,2,3,2,,,9,8,44,0.889,10,9,0.9,23,1450,14,0.609,63,2016
36,Patrick Murray,CLE,25,K,2,0,,,,,1,1,,,1,,2,1,35,0.5,4,3,0.75,7,463,4,0.571,66.1,2016
37,Matthew Bosher,ATL,29,P,15,0,,,,,,,,,,,,,,,,,,105,6781,65,0.619,64.6,2016
38,Pat McAfee,IND,29,P,16,0,,,,,,,,,,,,,,,,,,89,5697,49,0.551,64,2016
39,Sam Martin,DET,26,P,16,0,,,,,,,,,,,,,,,,,,78,4819,52,0.667,61.8,2016
40,Bradley Pinion,SFO,22,P,16,0,,,,,,,,,,,,,,,,,,31,1955,20,0.645,63.1,2016
41,Matt Wile,2TM,24,P,4,0,,,,,,,,,,,,,,,,,,7,455,7,1,65,2016
42,Bryan Anger,TAM,28,P,16,0,,,,,,,,,,,,,,,,,,2,97,,,48.5,2016
43,Britton Colquitt,CLE,31,P,16,0,,,,,,,,,,,,,,,,,,2,125,,,62.5,2016
44,Riley Dixon,DEN,23,P,16,0,,,,,,,,,,,,,,,,,,2,100,,,50,2016
45,Brian Peters,HOU,28,LB,12,0,,,,,,,,,,,,,,,,,,2,123,,,61.5,2016
46,Kevin Huber,CIN,31,P,16,0,,,,,,,,,,,,,,,,,,1,64,,,64,2016
47,Drew Kaser,SDG,23,P,16,0,,,,,,,,,,,,,,,,,,1,60,,,60,2016
48,Brett Kern,TEN,30,P,16,0,,,,,,,,,,,,,,,,,,1,59,,,59,2016
49,Sam Koch,BAL,34,P,16,0,,,,,,,,,,,,,,,,,,1,65,,,65,2016
50,Andy Lee,CAR,34,P,9,0,,,,,,,,,,,,,,,,,,1,71,,,71,2016
51,Brad Nortman,JAX,27,P,16,0,,,,,,,,,,,,,,,,,,1,54,,,54,2016
52,Pat O'Donnell,CHI,25,P,16,0,,,,,,,,,,,,,,,,,,1,51,,,51,2016
53,Jon Ryan,SEA,35,P,16,0,,,,,,,,,,,,,,,,,,1,65,,,65,2016
54,Colton Schmidt,BUF,26,P,16,0,,,,,,,,,,,,,,,,,,1,45,,,45,2016
55,Brad Wing,NYG,25,P,16,0,,,,,,,,,,,,,,,,,,1,67,,,67,2016
1,Justin Tucker,BAL,26,K,16,0,,,10,10,9,9,11,10,10,4,40,33,52,0.825,29,29,1,74,4753,63,0.851,64.2,2015
2,Blair Walsh,MIN,25,K,16,0,,,9,9,15,13,7,6,8,6,39,34,54,0.872,37,33,0.892,86,5651,47,0.547,65.7,2015
3,Robbie Gould,CHI,33,K,16,0,1,1,8,8,12,10,9,7,9,7,39,33,55,0.846,29,28,0.966,83,5003,39,0.47,60.3,2015
4,Cairo Santos,KAN,24,K,16,0,,,8,7,10,10,11,9,8,4,37,30,53,0.811,41,39,0.951,90,5721,40,0.444,63.6,2015
5,Graham Gano,CAR,28,K,16,0,1,1,10,10,5,4,16,13,4,2,36,30,52,0.833,59,56,0.949,102,6706,69,0.676,65.7,2015
6,Stephen Gostkowski,NWE,31,K,16,0,,,6,6,11,11,14,12,5,4,36,33,57,0.917,52,52,1,99,6249,69,0.697,63.1,2015
7,Brandon McManus,DEN,24,K,16,0,,,12,12,8,8,8,5,7,5,35,30,57,0.857,36,35,0.972,81,5046,55,0.679,62.3,2015
8,Josh Brown,NYG,36,K,16,0,1,1,6,6,12,12,10,8,3,3,32,30,53,0.938,45,44,0.978,93,5697,37,0.398,61.3,2015
9,Josh Lambo,SDG,25,K,16,0,,,4,4,7,7,16,11,5,4,32,26,54,0.813,32,28,0.875,75,4783,41,0.547,63.8,2015
10,Chris Boswell,PIT,24,K,12,0,1,1,9,9,8,8,12,9,2,2,32,29,51,0.906,27,26,0.963,74,4680,26,0.351,63.2,2015
11,Dan Bailey,DAL,27,K,16,0,,,9,9,10,10,7,6,6,5,32,30,54,0.938,25,25,1,73,4620,49,0.671,63.3,2015
12,Travis Coons,CLE,23,K,16,0,,,11,11,10,10,9,7,2,,32,28,47,0.875,24,22,0.917,70,4420,27,0.386,63.1,2015
13,Chandler Catanzaro,ARI,24,K,16,0,1,1,12,12,9,9,7,6,2,,31,28,47,0.903,58,53,0.914,99,6445,50,0.505,65.1,2015
14,Stephen Hauschka,SEA,30,K,16,0,,,9,9,7,7,9,7,6,6,31,29,54,0.935,44,40,0.909,91,5869,47,0.516,64.5,2015
15,Jason Myers,JAX,24,K,16,0,,,10,9,8,8,8,6,4,3,30,26,58,0.867,39,32,0.821,84,5208,55,0.655,62,2015
16,Greg Zuerlein,STL,28,K,14,0,1,1,2,2,10,9,8,5,9,3,30,20,61,0.667,28,26,0.929,64,4168,38,0.594,65.1,2015
17,Mike Nugent,CIN,33,K,16,0,,,6,6,6,5,13,10,3,2,28,23,52,0.821,49,48,0.98,89,5786,42,0.472,65,2015
18,Dustin Hopkins,WAS,25,K,15,0,,,7,7,9,9,8,7,4,2,28,25,54,0.893,40,39,0.975,80,4967,52,0.65,62.1,2015
19,Mason Crosby,GNB,31,K,16,0,1,1,7,7,4,4,11,8,5,4,28,24,56,0.857,36,36,1,80,5050,41,0.513,63.1,2015
20,Connor Barth,TAM,29,K,12,0,,,9,9,8,8,6,3,5,3,28,23,53,0.821,26,25,0.962,64,4062,32,0.5,63.5,2015
21,Dan Carpenter,BUF,30,K,16,0,,,5,5,9,8,8,7,5,3,27,23,52,0.852,40,34,0.85,4,213,,,53.3,2015
22,Adam Vinatieri,IND,43,K,16,0,,,8,7,6,6,8,8,5,4,27,25,55,0.926,35,32,0.914,,,,,,2015
23,Phil Dawson,SFO,40,K,16,0,,,10,9,6,6,8,6,3,3,27,24,54,0.889,21,20,0.952,6,268,,,44.7,2015
24,Sebastian Janikowski,OAK,37,K,16,0,,,7,7,6,5,8,5,5,4,26,21,56,0.808,39,38,0.974,79,4941,44,0.557,62.5,2015
25,Matt Prater,DET,31,K,16,0,,,3,3,9,8,6,6,6,5,24,22,59,0.917,39,36,0.923,4,223,,,55.8,2015
26,Randy Bullock,2TM,26,K,11,0,1,1,4,4,6,6,11,8,1,,23,19,49,0.826,25,22,0.88,56,3617,30,0.536,64.6,2015
27,Caleb Sturgis,PHI,26,K,13,0,,,4,4,10,8,4,4,4,2,22,18,53,0.818,37,35,0.946,68,4171,39,0.574,61.3,2015
28,Nick Novak,HOU,34,K,13,0,,,6,6,6,6,4,4,5,2,21,18,51,0.857,31,29,0.935,62,4006,23,0.371,64.6,2015
29,Matt Bryant,ATL,40,K,10,0,1,1,4,4,4,3,9,6,,,18,14,47,0.778,26,26,1,,,,,,2015
30,Andrew Franks,MIA,22,K,16,0,1,1,3,3,4,4,6,4,2,1,16,13,53,0.813,36,33,0.917,66,4133,44,0.667,62.6,2015
31,Ryan Succop,TEN,29,K,16,0,,,3,3,3,3,7,7,3,1,16,14,51,0.875,31,29,0.935,66,4272,43,0.652,64.7,2015
32,Nick Folk,NYJ,31,K,8,0,,,2,2,6,6,6,3,2,2,16,13,55,0.813,19,19,1,39,2466,13,0.333,63.2,2015
33,Kai Forbath,2TM,28,K,11,0,,,3,2,4,3,5,3,3,2,15,10,57,0.667,35,34,0.971,52,3410,22,0.423,65.6,2015
34,Zach Hocker,2TM,24,K,8,0,,,3,3,6,5,3,1,2,1,14,10,51,0.714,13,12,0.923,12,777,9,0.75,64.8,2015
35,Shayne Graham,ATL,38,K,5,0,,,2,2,4,4,4,2,3,3,13,11,54,0.846,8,8,1,,,,,,2015
36,Kyle Brindza,TAM,22,K,4,0,,,2,1,3,2,3,1,4,2,12,6,58,0.5,8,6,0.75,18,1131,12,0.667,62.8,2015
37,Josh Scobee,PIT,33,K,4,0,,,2,2,1,1,7,3,,,10,6,45,0.6,7,6,0.857,20,1251,12,0.6,62.6,2015
38,Cody Parkey,PHI,23,K,3,0,,,1,1,1,1,2,1,,,4,3,46,0.75,7,7,1,13,754,3,0.231,58,2015
39,Ryan Quigley,NYJ,25,P,15,0,,,,,,,,,,,,,,,4,4,1,5,337,1,0.2,67.4,2015
40,Jordan Gay,BUF,25,P,14,0,,,,,,,,,,,,,,,,,,77,4815,42,0.545,62.5,2015
41,Pat McAfee,IND,28,P,16,0,,,,,,,,,,,,,,,,,,77,4832,67,0.87,62.8,2015
42,Matthew Bosher,ATL,28,P,16,0,,,,,,,,,,,,,,,,,,76,4875,52,0.684,64.1,2015
43,Sam Martin,DET,25,P,16,0,,,,,,,,,,,,,,,,,,73,4603,40,0.548,63.1,2015
44,Bradley Pinion,SFO,21,P,16,0,,,,,,,,,,,,,,,,,,57,3707,38,0.667,65,2015
45,Thomas Morstead,NOR,29,P,14,0,,,,,,,,,,,,,,,,,,23,1455,16,0.696,63.3,2015
46,Matt Darr,MIA,23,P,16,0,,,,,,,,,,,,,,,,,,6,258,,,43,2015
47,Nate Ebner,NWE,27,DB,15,0,,,,,,,,,,,,,,,,,,2,35,,,17.5,2015
48,Johnny Hekker,STL,25,P,16,0,,,,,,,,,,,,,,,,,,2,133,1,0.5,66.5,2015
49,Marquette King,OAK,27,P,16,0,,,,,,,,,,,,,,,,,,2,123,,,61.5,2015
50,Tress Way,WAS,25,P,16,0,,,,,,,,,,,,,,,,,,2,120,,,60,2015
51,Britton Colquitt,DEN,30,P,16,0,,,,,,,,,,,,,,,,,,1,63,,,63,2015
52,Jeff Locke,MIN,26,P,16,0,,,,,,,,,,,,,,,,,,1,44,,,44,2015
53,Tim Masthay,GNB,28,P,16,0,,,,,,,,,,,,,,,,,,1,56,,,56,2015
54,Brad Nortman,CAR,26,P,16,0,,,,,,,,,,,,,,,,,,1,51,,,51,2015
55,Jon Ryan,SEA,34,P,16,0,,,,,,,,,,,,,,,,,,1,61,,,61,2015
56,Mike Scifres,SDG,35,P,16,0,,,,,,,,,,,,,,,,,,1,56,,,56,2015
1,Nick Folk,NYJ,30,K,16,0,,,13,13,7,7,13,9,6,3,39,32,55,0.821,23,23,1,69,4340,21,0.304,62.9,2014
2,Dan Carpenter,BUF,29,K,16,0,,,10,10,12,11,8,7,8,6,38,34,58,0.895,32,31,0.969,,,,,,2014
3,Stephen Gostkowski,NWE,30,K,16,0,1,1,11,11,11,10,13,12,1,1,37,35,53,0.946,51,51,1,99,6328,53,0.535,63.9,2014
4,Stephen Hauschka,SEA,29,K,16,0,,,10,10,10,10,13,9,4,2,37,31,58,0.838,41,41,1,88,5728,46,0.523,65.1,2014
5,Caleb Sturgis,MIA,25,K,16,0,1,1,12,12,8,7,10,6,6,3,37,29,53,0.784,41,41,1,85,5448,37,0.435,64.1,2014
6,Cody Parkey,PHI,22,K,16,0,,,10,10,16,14,6,4,4,4,36,32,54,0.889,54,54,1,98,6401,46,0.469,65.3,2014
7,Randy Bullock,HOU,25,K,16,0,,,7,6,15,13,8,7,5,4,35,30,55,0.857,40,40,1,86,5613,40,0.465,65.3,2014
8,Graham Gano,CAR,27,K,16,0,,,7,7,14,13,11,8,3,1,35,29,53,0.829,34,34,1,79,5196,61,0.772,65.8,2014
9,Blair Walsh,MIN,24,K,16,0,2,2,5,4,10,8,9,7,9,5,35,26,55,0.743,29,29,1,76,4792,48,0.632,63.1,2014
10,Justin Tucker,BAL,25,K,16,0,,,10,10,11,11,4,4,9,4,34,29,55,0.853,42,42,1,88,5704,60,0.682,64.8,2014
11,Mason Crosby,GNB,30,K,16,0,,,7,7,11,10,8,6,7,4,33,27,55,0.818,55,53,0.964,102,6288,41,0.402,61.6,2014
12,Mike Nugent,CIN,32,K,16,0,,,6,6,12,10,12,10,3,,33,26,49,0.788,39,39,1,81,5316,37,0.457,65.6,2014
13,Chandler Catanzaro,ARI,23,K,16,0,,,5,5,14,12,11,10,3,2,33,29,51,0.879,27,27,1,76,5054,38,0.5,66.5,2014
14,Shaun Suisham,PIT,33,K,16,0,,,13,12,6,6,10,10,3,1,32,29,53,0.906,45,45,1,89,5552,32,0.36,62.4,2014
15,Matt Bryant,ATL,39,K,16,0,,,10,10,4,4,8,8,10,7,32,29,54,0.906,40,40,1,,,,,,2014
16,Adam Vinatieri,IND,42,K,16,0,,,10,10,10,10,8,7,3,3,31,30,53,0.968,50,50,1,,,,,,2014
17,Phil Dawson,SFO,39,K,16,0,,,6,6,9,8,7,5,9,6,31,25,55,0.806,33,33,1,73,4721,32,0.438,64.7,2014
18,Cairo Santos,KAN,23,K,16,0,1,1,10,10,6,5,11,8,2,1,30,25,53,0.833,38,38,1,80,5085,26,0.325,63.6,2014
19,Greg Zuerlein,STL,27,K,16,0,1,1,7,6,12,10,3,2,7,5,30,24,56,0.8,35,34,0.971,73,4862,38,0.521,66.6,2014
20,Dan Bailey,DAL,26,K,16,0,,,6,6,7,6,9,8,7,5,29,25,56,0.862,56,56,1,98,6175,52,0.531,63,2014
21,Billy Cundiff,CLE,34,K,13,0,,,6,6,13,10,7,5,3,1,29,22,52,0.759,28,28,1,63,4169,39,0.619,66.2,2014
22,Kai Forbath,WAS,27,K,16,0,,,11,11,7,6,8,7,1,,27,24,49,0.889,32,31,0.969,54,3309,18,0.333,61.3,2014
23,Josh Brown,NYG,35,K,16,0,1,1,7,6,9,9,5,4,4,4,26,24,53,0.923,44,44,1,82,5021,46,0.561,61.2,2014
24,Nick Novak,SDG,33,K,16,0,1,1,6,6,9,8,6,4,4,3,26,22,52,0.846,40,40,1,78,4751,10,0.128,60.9,2014
25,Josh Scobee,JAX,32,K,16,0,,,3,3,8,7,9,7,6,3,26,20,53,0.769,23,23,1,63,3819,37,0.587,60.6,2014
26,Matt Prater,DET,30,K,11,0,,,8,8,5,4,8,6,5,3,26,21,52,0.808,21,21,1,,,,,,2014
27,Patrick Murray,TAM,23,K,16,0,,,3,2,8,7,7,6,6,5,24,20,55,0.833,31,31,1,,,,,,2014
28,Shayne Graham,NOR,37,K,16,0,,,6,6,9,9,5,3,2,1,22,19,50,0.864,47,46,0.979,2,20,,,10,2014
29,Sebastian Janikowski,OAK,36,K,16,0,,,2,2,6,5,9,9,5,3,22,19,57,0.864,28,28,1,61,3723,34,0.557,61,2014
30,Ryan Succop,TEN,28,K,16,0,,,5,5,7,7,8,5,2,2,22,19,51,0.864,27,27,1,63,3967,31,0.492,63,2014
31,Connor Barth,DEN,28,K,5,0,2,2,4,4,5,5,4,3,1,1,16,15,50,0.938,15,15,1,8,456,,,57,2014
32,Brandon McManus,DEN,23,K,15,0,,,5,5,3,2,3,2,2,,13,9,44,0.692,41,41,1,91,5981,64,0.703,65.7,2014
33,Robbie Gould,CHI,32,K,12,0,,,4,4,3,2,4,3,1,,12,9,45,0.75,29,28,0.966,53,3179,21,0.396,60,2014
34,Nate Freese,DET,24,K,3,0,,,2,2,1,1,4,,,,7,3,30,0.429,6,6,1,,,,,,2014
35,Alex Henery,DET,27,K,2,0,,,,,,,2,,3,1,5,1,51,0.2,5,5,1,,,,,,2014
36,Jay Feely,CHI,38,K,4,0,,,1,1,1,1,2,1,,,4,3,48,0.75,6,5,0.833,14,580,3,0.214,41.4,2014
37,Garrett Hartley,CLE,28,K,2,0,,,,,2,2,1,1,,,3,3,43,1,2,2,1,2,123,,,61.5,2014
38,Pat McAfee,IND,27,P,16,0,,,,,,,,,,,,,,,,,,99,6335,70,0.707,64,2014
39,Matthew Bosher,ATL,27,P,16,0,,,,,,,,,,,,,,,,,,83,5172,46,0.554,62.3,2014
40,Jordan Gay,BUF,24,P,16,0,,,,,,,,,,,,,,,,,,83,5222,49,0.59,62.9,2014
41,Thomas Morstead,NOR,28,P,16,0,,,,,,,,,,,,,,,,,,79,5238,40,0.506,66.3,2014
42,Sam Martin,DET,24,P,16,0,,,,,,,,,,,,,,,,,,75,4803,53,0.707,64,2014
43,Michael Koenen,TAM,32,P,16,0,,,,,,,,,,,,,,,,,,69,4429,31,0.449,64.2,2014
44,Tress Way,WAS,24,P,16,0,,,,,,,,,,,,,,,,,,18,1174,9,0.5,65.2,2014
45,Spencer Lanning,CLE,26,P,16,0,,,,,,,,,,,,,,,,,,6,387,1,0.167,64.5,2014
46,Ryan Quigley,NYJ,24,P,16,0,,,,,,,,,,,,,,,,,,5,315,,,63,2014
47,Bryan Anger,JAX,26,P,16,0,,,,,,,,,,,,,,,,,,2,136,,,68,2014
48,Johnny Hekker,STL,24,P,16,0,,,,,,,,,,,,,,,,,,2,30,,,15,2014
49,Brett Kern,TEN,28,P,16,0,,,,,,,,,,,,,,,,,,2,119,,,59.5,2014
50,Tim Masthay,GNB,27,P,16,0,,,,,,,,,,,,,,,,,,2,119,,,59.5,2014
51,Colton Schmidt,BUF,24,P,16,0,,,,,,,,,,,,,,,,,,2,101,,,50.5,2014
52,Dustin Colquitt,KAN,32,P,16,0,,,,,,,,,,,,,,,,,,1,71,,,71,2014
53,Chris Jones,DAL,25,P,16,0,,,,,,,,,,,,,,,,,,1,57,,,57,2014
54,Shane Lechler,HOU,38,P,16,0,,,,,,,,,,,,,,,,,,1,67,,,67,2014
55,Jeff Locke,MIN,25,P,16,0,,,,,,,,,,,,,,,,,,1,50,,,50,2014
56,Pat O'Donnell,CHI,23,P,16,0,,,,,,,,,,,,,,,,,,1,65,1,1,65,2014
57,Jon Ryan,SEA,33,P,16,0,,,,,,,,,,,,,,,,,,1,79,,,79,2014
1,Stephen Gostkowski,NWE,29,K,16,0,1,1,8,8,13,13,13,11,6,5,41,38,54,0.927,44,44,1,99,6315,65,0.657,63.8,2013
2,Justin Tucker,BAL,24,K,16,0,,,9,9,14,13,11,10,7,6,41,38,61,0.927,26,26,1,82,5114,42,0.512,62.4,2013
3,Adam Vinatieri,IND,41,K,15,0,,,6,6,11,10,17,15,6,4,40,35,52,0.875,34,34,1,,,,,,2013
4,Nick Novak,SDG,32,K,16,0,1,1,9,9,16,13,9,9,2,2,37,34,50,0.919,42,42,1,92,6031,18,0.196,65.6,2013
5,Mason Crosby,GNB,29,K,16,0,1,1,13,13,8,8,8,6,7,5,37,33,57,0.892,42,42,1,57,3480,13,0.228,61.1,2013
6,Phil Dawson,SFO,38,K,16,0,,,13,12,6,6,11,10,6,4,36,32,56,0.889,44,44,1,91,5896,38,0.418,64.8,2013
7,Jay Feely,ARI,37,K,16,0,,,11,9,8,7,12,11,5,3,36,30,52,0.833,37,37,1,86,5629,33,0.384,65.5,2013
8,Dan Carpenter,BUF,28,K,16,0,,,13,13,6,6,11,10,6,4,36,33,55,0.917,32,32,1,83,5286,34,0.41,63.7,2013
9,Nick Folk,NYJ,29,K,16,0,,,8,8,11,10,14,12,3,3,36,33,54,0.917,27,27,1,73,4582,30,0.411,62.8,2013
10,Stephen Hauschka,SEA,28,K,16,0,,,11,10,9,9,12,11,3,3,35,33,53,0.943,44,44,1,94,6118,48,0.511,65.1,2013
11,Randy Bullock,HOU,24,K,16,0,1,1,7,7,5,5,17,12,5,1,35,26,51,0.743,26,26,1,67,4381,29,0.433,65.4,2013
12,Caleb Sturgis,MIA,24,K,16,0,1,1,4,4,12,10,10,8,7,3,34,26,54,0.765,33,33,1,74,4783,38,0.514,64.6,2013
13,Shaun Suisham,PIT,32,K,16,0,,,9,9,15,13,8,8,,,32,30,48,0.938,39,39,1,86,5123,24,0.279,59.6,2013
14,Dan Bailey,DAL,25,K,16,0,2,2,2,2,9,8,10,10,7,6,30,28,53,0.933,47,47,1,93,5815,52,0.559,62.5,2013
15,Blair Walsh,MIN,23,K,16,0,,,7,7,12,12,6,5,5,2,30,26,54,0.867,44,43,0.977,84,5241,43,0.512,62.4,2013
16,Garrett Hartley,NOR,27,K,14,0,2,2,6,5,8,5,13,9,1,1,30,22,55,0.733,41,41,1,1,9,,,9,2013
17,Sebastian Janikowski,OAK,35,K,16,0,,,6,6,6,4,11,8,7,3,30,21,53,0.7,37,37,1,74,4363,38,0.514,59,2013
18,Robbie Gould,CHI,31,K,16,0,,,11,11,7,6,7,6,4,3,29,26,58,0.897,46,45,0.978,89,5228,38,0.427,58.7,2013
19,Rob Bironas,TEN,35,K,16,0,,,10,10,9,8,7,5,3,2,29,25,55,0.862,41,41,1,80,4875,32,0.4,60.9,2013
20,Rian Lindell,TAM,36,K,16,0,,,3,3,14,12,6,4,6,4,29,23,54,0.793,31,31,1,,,,,,2013
21,Ryan Succop,KAN,27,K,16,0,,,6,6,10,9,8,6,4,1,28,22,51,0.786,52,52,1,91,5860,47,0.516,64.4,2013
22,Alex Henery,PHI,26,K,16,0,,,8,8,8,7,10,7,2,1,28,23,51,0.821,45,45,1,90,5583,37,0.411,62,2013
23,Greg Zuerlein,STL,26,K,16,0,,,7,7,10,10,9,8,2,1,28,26,54,0.929,34,34,1,78,5094,52,0.667,65.3,2013
24,Graham Gano,CAR,26,K,16,0,,,9,9,5,4,7,5,6,6,27,24,55,0.889,42,42,1,80,5185,63,0.788,64.8,2013
25,Matt Bryant,ATL,38,K,16,0,,,9,9,8,7,5,5,5,3,27,24,53,0.889,39,39,1,,,,,,2013
26,Matt Prater,DEN,29,K,16,0,2,2,4,4,5,5,8,8,7,6,26,25,64,0.962,75,75,1,114,7348,81,0.711,64.5,2013
27,Billy Cundiff,CLE,33,K,16,0,,,7,7,6,5,9,7,4,2,26,21,51,0.808,32,32,1,65,4095,42,0.646,63,2013
28,Josh Brown,NYG,34,K,16,0,,,8,8,8,7,8,7,2,1,26,23,52,0.885,31,31,1,70,4375,35,0.5,62.5,2013
29,Josh Scobee,JAX,31,K,16,0,,,3,3,12,12,5,4,5,4,25,23,55,0.92,23,22,0.957,63,4038,36,0.571,64.1,2013
30,David Akers,DET,39,K,16,0,1,1,5,5,8,6,7,4,3,3,24,19,53,0.792,43,42,0.977,14,858,7,0.5,61.3,2013
31,Mike Nugent,CIN,31,K,16,0,,,2,2,7,6,9,7,4,3,22,18,54,0.818,53,52,0.981,86,5428,32,0.372,63.1,2013
32,Kai Forbath,WAS,26,K,13,0,,,4,3,10,10,6,4,2,1,22,18,50,0.818,26,26,1,57,3420,14,0.246,60,2013
33,John Potter,WAS,23,K,3,0,,,2,2,,,1,1,1,,4,3,43,0.75,7,7,1,14,848,8,0.571,60.6,2013
34,Shayne Graham,NOR,36,K,2,0,,,1,1,,,1,1,,,2,2,40,1,7,7,1,,,,,,2013
35,Spencer Lanning,CLE,25,P,16,0,,,,,,,,,,,,,,,1,1,1,8,403,,,50.4,2013
36,Pat McAfee,IND,26,P,16,0,,,,,,,,,,,,,,,,,,88,5647,41,0.466,64.2,2013
37,Thomas Morstead,NOR,27,P,16,0,,,,,,,,,,,,,,,,,,86,5563,52,0.605,64.7,2013
38,Matthew Bosher,ATL,26,P,16,0,,,,,,,,,,,,,,,,,,79,4836,50,0.633,61.2,2013
39,Sam Martin,DET,23,P,16,0,,,,,,,,,,,,,,,,,,70,4492,38,0.543,64.2,2013
40,Michael Koenen,TAM,31,P,16,0,,,,,,,,,,,,,,,,,,69,4294,41,0.594,62.2,2013
41,Tim Masthay,GNB,26,P,16,0,,,,,,,,,,,,,,,,,,36,2367,17,0.472,65.8,2013
42,Jeff Locke,MIN,24,P,16,0,,,,,,,,,,,,,,,,,,4,253,1,0.25,63.3,2013
43,Johnny Hekker,STL,23,P,16,0,,,,,,,,,,,,,,,,,,3,69,,,23,2013
44,Brett Kern,TEN,27,P,16,0,,,,,,,,,,,,,,,,,,3,181,,,60.3,2013
45,Brad Nortman,CAR,24,P,16,0,,,,,,,,,,,,,,,,,,2,120,,,60,2013
46,Britton Colquitt,DEN,28,P,16,0,,,,,,,,,,,,,,,,,,1,62,,,62,2013
47,Dustin Colquitt,KAN,31,P,16,0,,,,,,,,,,,,,,,,,,1,77,,,77,2013
48,Brandon Fields,MIA,29,P,16,0,,,,,,,,,,,,,,,,,,1,53,,,53,2013
49,Shane Lechler,HOU,37,P,16,0,,,,,,,,,,,,,,,,,,1,68,,,68,2013
50,Andy Lee,SFO,31,P,16,0,,,,,,,,,,,,,,,,,,1,53,,,53,2013
51,Adam Podlesh,CHI,30,P,16,0,,,,,,,,,,,,,,,,,,1,43,,,43,2013
52,Saverio Rocca,WAS,40,P,16,0,,,,,,,,,,,,,,,,,,1,56,,,56,2013
53,Steve Weatherford,NYG,31,P,16,0,,,,,,,,,,,,,,,,,,1,49,,,49,2013
54,Dave Zastudil,ARI,35,P,16,0,,,,,,,,,,,,,,,,,,1,51,,,51,2013
1,David Akers,SFO,38,K,16,0,1,1,9,8,13,11,13,7,6,2,42,29,63,0.69,44,44,1,87,5694,40,0.46,65.4,2012
2,Lawrence Tynes,NYG,34,K,16,0,,,11,11,16,14,9,7,3,1,39,33,50,0.846,46,46,1,94,6010,24,0.255,63.9,2012
3,Shayne Graham,HOU,35,K,16,0,1,1,8,8,11,11,9,7,9,4,38,31,51,0.816,45,45,1,91,5632,28,0.308,61.9,2012
4,Matt Bryant,ATL,37,K,16,0,1,1,9,8,11,10,13,10,4,4,38,33,55,0.868,44,44,1,,,,,,2012
5,Blair Walsh,MIN,22,K,16,0,,,10,10,9,8,9,7,10,10,38,35,56,0.921,36,36,1,86,5633,53,0.616,65.5,2012
6,Jason Hanson,DET,42,K,16,0,1,1,3,3,10,10,19,16,3,2,36,32,53,0.889,38,38,1,87,5282,30,0.345,60.7,2012
7,Stephen Gostkowski,NWE,28,K,16,0,,,8,8,12,10,13,9,2,2,35,29,53,0.829,66,66,1,111,7061,52,0.468,63.6,2012
8,Sebastian Janikowski,OAK,34,K,16,0,1,1,9,9,10,10,5,5,9,6,34,31,57,0.912,25,25,1,73,4473,38,0.521,61.3,2012
9,Ryan Succop,KAN,26,K,16,0,,,5,4,15,12,12,10,2,2,34,28,52,0.824,17,17,1,58,3579,27,0.466,61.7,2012
10,Mason Crosby,GNB,28,K,16,0,,,5,5,7,5,12,9,9,2,33,21,54,0.636,50,50,1,88,5531,35,0.398,62.9,2012
