Coach,Tm,G,W,L,T,w/ Team_G,w/ Team_W,w/ Team_L,w/ Team_T,Career_G,Career_W,Career_L,Career_T,Playoffs_G plyf,Playoffs_W plyf,Playoffs_L plyf,w/ Team_G plyf,w/ Team_W plyf,w/ Team_L plyf,Career_G plyf,Career_W plyf,Career_L plyf,Remark,season
Jeff Fisher,TEN,16,13,3,0,262,142,120,0,339,173,165,1,4,3,1,11,5,6,11,5,6,AFC Champions,1999
Norv Turner,WAS,16,10,6,0,109,49,59,1,237,114,122,1,2,1,1,2,1,1,8,4,4,,1999
Vince Tobin,ARI,16,9,7,0,71,28,43,0,71,28,43,0,2,1,1,2,1,1,2,1,1,,1998
Dan Reeves,ATL,16,14,2,0,109,49,59,1,357,190,165,2,3,2,1,5,3,2,20,11,9,NFC Champions,1998
Ted Marchibroda,BAL,16,6,10,0,48,16,31,1,186,87,98,1,0,0,0,0,0,0,6,2,4,,1998
Wade Phillips,BUF,16,10,6,0,48,29,19,0,146,82,64,0,1,0,1,2,0,2,6,1,5,,1998
Dom Capers,CAR,16,4,12,0,64,30,34,0,128,48,80,0,0,0,0,2,1,1,2,1,1,,1998
Dave Wannstedt,CHI,16,4,12,0,96,40,56,0,169,82,87,0,0,0,0,2,1,1,5,2,3,,1998
Bruce Coslet,CIN,16,3,13,0,60,21,39,0,124,47,77,0,0,0,0,0,0,0,1,0,1,,1998
Chan Gailey,DAL,16,10,6,0,32,18,14,0,80,34,46,0,1,0,1,2,0,2,2,0,2,,1998
Mike Shanahan,DEN,16,14,2,0,224,138,86,0,308,170,138,0,3,3,0,13,8,5,14,8,6,Super Bowl Champions,1998
Bobby Ross,DET,16,5,11,0,57,27,30,0,137,74,63,0,0,0,0,2,0,2,8,3,5,,1998
Mike Holmgren,GNB,16,11,5,0,112,75,37,0,272,161,111,0,1,0,1,14,9,5,24,13,11,,1998
Jim Mora,IND,16,3,13,0,64,32,32,0,231,125,106,0,0,0,0,2,0,2,6,0,6,,1998
Tom Coughlin,JAX,16,11,5,0,128,68,60,0,320,170,150,0,2,1,1,8,4,4,19,12,7,,1998
Marty Schottenheimer,KAN,16,7,9,0,160,101,58,1,327,200,126,1,0,0,0,10,3,7,18,5,13,,1998
Jimmy Johnson,MIA,16,10,6,0,64,36,28,0,144,80,64,0,2,1,1,5,2,3,13,9,4,,1998
Dennis Green,MIN,16,15,1,0,159,97,62,0,207,113,94,0,2,1,1,12,4,8,12,4,8,,1998
Mike Ditka,NOR,16,6,10,0,48,15,33,0,216,121,95,0,0,0,0,0,0,0,12,6,6,,1998
Pete Carroll,NWE,16,9,7,0,48,27,21,0,290,169,120,1,1,0,1,3,1,2,22,11,11,,1998
Jim Fassel,NYG,16,8,8,0,112,58,53,1,112,58,53,1,0,0,0,5,2,3,5,2,3,,1998
Bill Parcells,NYJ,16,12,4,0,48,29,19,0,303,172,130,1,2,1,1,2,1,1,19,11,8,,1998
Jon Gruden,OAK,16,8,8,0,117,60,57,0,229,117,112,0,0,0,0,5,2,3,10,5,5,,1998
Ray Rhodes,PHI,16,3,13,0,64,29,34,1,80,37,42,1,0,0,0,3,1,2,3,1,2,,1998
Bill Cowher,PIT,16,7,9,0,240,149,90,1,240,149,90,1,0,0,0,21,12,9,21,12,9,,1998
Kevin Gilbride,SDG,6,2,4,0,22,6,16,0,22,6,16,0,0,0,0,0,0,0,0,0,0,,1998
